0 1 2
0 3 5
0 12 20
0 6 10
0 0 1
0 1 2
0 10 16
0 8 15
0 1 2
0 1 2
0 6 11
0 11 20
0 3 5
0 1 2
0 4 7
0 11 20
0 5 9
0 0 2
0 2 4
0 11 18
0 7 12
0 0 1
0 1 2
0 7 12
0 11 19
0 2 4
0 1 1
0 5 8
0 12 20
0 4 8
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 3
0 8 14
0 10 17
0 1 3
0 1 2
0 6 10
0 11 20
0 3 7
0 0 2
0 3 5
0 12 20
0 5 10
0 0 1
0 1 2
0 10 17
0 8 15
0 0 2
0 1 3
0 6 11
0 11 20
0 2 5
0 1 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 3
0 11 19
0 7 13
0 0 1
0 1 2
0 7 12
0 11 19
0 2 4
0 1 2
0 5 8
0 11 20
0 4 8
0 0 2
0 2 4
0 12 20
0 6 11
0 0 1
0 1 3
0 8 14
0 10 18
0 1 2
0 1 3
0 6 10
0 11 20
0 3 7
0 1 1
0 3 5
0 12 20
0 6 10
0 0 2
0 1 2
0 10 17
0 8 15
0 0 2
0 1 3
0 7 11
0 11 20
0 2 5
0 0 2
0 4 7
0 12 20
0 5 9
0 0 2
0 2 3
0 11 19
0 7 12
0 0 1
0 1 3
0 7 12
0 11 19
0 2 4
0 1 2
0 5 8
0 12 20
0 4 8
0 1 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 14
0 10 17
0 1 2
0 1 2
0 6 10
0 11 20
0 3 7
0 1 1
0 3 5
0 12 21
0 6 10
0 0 1
0 1 2
0 10 17
0 8 15
0 0 2
0 1 3
0 6 11
0 11 20
0 2 5
0 0 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 3
0 11 19
0 7 13
0 0 1
0 1 3
0 7 13
0 11 19
0 2 4
0 1 2
0 5 8
0 12 21
0 4 8
0 1 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 14
0 10 18
0 1 2
0 1 2
0 6 10
0 11 20
0 3 7
0 1 1
0 3 5
0 12 20
0 6 10
0 0 1
0 1 2
0 10 17
0 8 15
0 0 2
0 1 3
0 6 11
0 11 20
0 3 5
0 1 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 3
0 11 19
0 7 13
0 0 1
0 1 2
0 7 13
0 11 19
0 2 4
0 1 2
0 5 8
0 11 20
0 4 8
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 14
0 10 18
0 1 3
0 1 2
0 6 9
0 11 20
0 3 7
0 0 2
0 3 5
0 12 20
0 6 10
0 0 1
0 1 2
0 10 16
0 9 16
0 0 2
0 1 3
0 6 11
0 11 20
0 3 6
0 1 1
0 4 6
0 12 20
0 5 9
0 0 1
0 2 3
0 11 19
0 7 13
0 0 1
0 1 2
0 7 12
0 11 20
0 2 4
0 1 2
0 5 8
0 12 21
0 4 9
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 13
0 10 18
0 1 3
0 1 2
0 6 9
0 11 20
0 4 7
0 0 2
0 3 5
0 12 21
0 6 10
0 0 1
0 1 2
0 9 16
0 9 16
0 0 2
0 1 2
0 6 11
0 11 20
0 3 6
0 1 2
0 3 6
0 12 20
0 5 9
0 0 1
0 1 3
0 11 18
0 7 14
0 0 1
0 1 2
0 7 12
0 11 20
0 2 4
0 1 2
0 4 8
0 11 21
0 5 9
0 0 1
0 2 4
0 12 20
0 6 12
0 0 1
0 1 2
0 8 13
0 10 19
0 1 3
0 1 2
0 5 9
0 11 20
0 4 7
0 0 1
0 3 5
0 12 20
0 6 11
0 0 1
0 1 2
0 9 15
0 9 17
0 1 2
0 1 2
0 6 10
0 11 20
0 3 6
0 0 2
0 3 6
0 12 20
0 5 10
0 0 1
0 1 3
0 10 17
0 8 14
0 0 1
0 1 3
0 7 12
0 11 20
0 2 5
0 1 2
0 4 7
0 12 21
0 5 9
0 0 1
0 2 3
0 11 19
0 7 12
0 0 1
0 1 2
0 7 13
0 11 19
0 2 4
0 1 2
0 5 8
0 12 20
0 4 8
0 0 1
0 3 4
0 12 20
0 6 11
0 0 1
0 1 2
0 9 14
0 10 17
0 1 3
0 1 2
0 6 10
0 11 20
0 3 7
0 1 2
0 3 5
0 12 21
0 6 10
0 0 1
0 1 2
0 10 16
0 8 16
0 0 1
0 1 3
0 6 11
0 11 20
0 3 5
0 1 2
0 4 6
0 12 20
0 5 10
0 0 1
0 2 3
0 11 18
0 7 14
0 0 1
0 1 3
0 7 12
0 11 20
0 2 4
0 1 2
0 4 8
0 11 20
0 4 8
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 13
0 10 19
0 1 3
0 1 2
0 5 9
0 11 20
0 4 7
0 0 2
0 3 5
0 12 21
0 6 11
0 0 1
0 1 2
0 9 15
0 9 17
0 1 2
0 1 2
0 6 10
0 11 20
0 3 6
0 1 2
0 3 6
0 12 20
0 5 10
0 0 2
0 1 2
0 10 17
0 8 15
0 0 2
0 1 2
0 7 11
0 11 20
0 2 5
0 1 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 4
0 11 19
0 7 13
0 0 1
0 1 3
0 7 13
0 11 20
0 2 4
0 1 2
0 5 8
0 11 20
0 4 8
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 3
0 8 14
0 10 18
0 1 3
0 1 2
0 5 10
0 11 20
0 3 7
0 0 1
0 3 5
0 12 20
0 6 10
0 0 1
0 1 3
0 9 16
0 9 16
0 1 2
0 1 2
0 6 11
0 11 20
0 3 6
0 1 2
0 3 6
0 12 20
0 5 10
0 0 2
0 1 3
0 10 17
0 8 14
0 0 1
0 1 3
0 7 12
0 11 20
0 2 5
0 1 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 4
0 11 19
0 6 12
0 0 1
0 1 3
0 7 13
0 11 19
0 1 4
0 1 2
0 5 8
0 12 20
0 4 8
0 0 2
0 2 4
0 12 21
0 6 11
0 0 1
0 1 2
0 8 14
0 10 18
0 1 2
0 1 3
0 6 10
0 11 20
0 4 7
0 1 1
0 3 5
0 12 20
0 6 10
0 0 2
0 1 2
0 10 16
0 9 16
0 1 2
0 1 3
0 6 11
0 11 20
0 3 6
0 0 2
0 3 6
0 12 20
0 5 10
0 0 1
0 1 3
0 11 18
0 8 14
0 0 1
0 1 3
0 7 12
0 11 20
0 2 5
0 1 2
0 4 7
0 12 20
0 5 9
0 0 1
0 2 4
0 11 19
0 6 12
0 0 1
0 1 3
0 7 13
0 11 19
0 2 4
0 1 2
0 5 9
0 11 20
0 4 8
0 0 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 14
0 10 18
0 1 3
0 1 2
0 6 10
0 11 20
0 3 7
0 0 2
0 3 5
0 12 20
0 6 10
0 0 2
0 1 2
0 10 16
0 9 16
0 1 2
0 1 2
0 6 11
0 11 20
0 3 6
0 1 2
0 4 6
0 12 20
0 5 10
0 0 1
0 1 3
0 11 18
0 8 14
0 0 1
0 1 3
0 7 12
0 11 20
0 2 5
0 1 1
0 4 7
0 12 21
0 5 9
0 0 1
0 2 4
0 12 19
0 7 12
0 0 1
0 1 2
0 7 13
0 11 19
0 2 4
0 1 2
0 5 8
0 12 20
0 4 8
0 1 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 3
0 8 14
0 10 18
0 1 3
0 1 2
0 5 9
0 11 20
0 4 7
0 0 2
0 3 5
0 12 21
0 6 11
0 0 1
0 1 2
0 9 16
0 9 16
0 0 2
0 1 2
0 6 11
0 11 20
0 3 6
0 1 2
0 3 6
0 12 21
0 5 10
0 0 1
0 1 3
0 10 18
0 8 15
0 0 2
0 1 3
0 7 12
0 11 20
0 2 5
0 0 2
0 4 7
0 12 20
0 5 9
0 0 2
0 2 3
0 11 19
0 7 12
0 0 1
0 1 2
0 7 12
0 11 20
0 2 4
0 1 1
0 5 8
0 12 21
0 4 8
0 1 1
0 2 4
0 12 20
0 6 11
0 0 1
0 1 2
0 8 13
0 10 18
0 1 3
0 1 2
0 5 9
0 11 20
0 4 7
0 0 2
0 3 5
0 12 21
0 6 11
0 0 1
0 1 2
0 9 15
0 9 16
0 1 2
0 1 3
0 6 10
0 11 20
0 3 6
0 0 2
0 3 6
0 12 21
0 5 10
0 0 1
0 1 2
0 10 17
0 8 15
0 0 1
0 1 3
